Epoch [223/300], Loss: 0.5479
Epoch [224/300], Loss: 0.5471
Epoch [225/300], Loss: 0.5463
Epoch [226/300], Loss: 0.5455
Epoch [227/300], Loss: 0.5447
Epoch [228/300], Loss: 0.5439
Epoch [229/300], Loss: 0.5430
Epoch [230/300], Loss: 0.5421
Epoch [231/300], Loss: 0.5414
Epoch [232/300], Loss: 0.5406
Epoch [233/300], Loss: 0.5396
Epoch [234/300], Loss: 0.5388
Epoch [235/300], Loss: 0.5379
Epoch [236/300], Loss: 0.5370
Epoch [237/300], Loss: 0.5361
Epoch [238/300], Loss: 0.5352
Epoch [239/300], Loss: 0.5343
Epoch [240/300], Loss: 0.5334
Epoch [241/300], Loss: 0.5325
Epoch [242/300], Loss: 0.5316
Epoch [243/300], Loss: 0.5307
Epoch [244/300], Loss: 0.5297
Epoch [245/300], Loss: 0.5288
Epoch [246/300], Loss: 0.5278
Epoch [247/300], Loss: 0.5269
Epoch [248/300], Loss: 0.5259
Epoch [249/300], Loss: 0.5250
Epoch [250/300], Loss: 0.5240
Epoch [251/300], Loss: 0.5231
Epoch [252/300], Loss: 0.5221
Epoch [253/300], Loss: 0.5211
Epoch [254/300], Loss: 0.5201
Epoch [255/300], Loss: 0.5192
Epoch [256/300], Loss: 0.5182
Epoch [257/300], Loss: 0.5173
Epoch [258/300], Loss: 0.5163
Epoch [259/300], Loss: 0.5154
Epoch [260/300], Loss: 0.5144
Epoch [261/300], Loss: 0.5137
Epoch [262/300], Loss: 0.5130
Epoch [263/300], Loss: 0.5128
Epoch [264/300], Loss: 0.5117
Epoch [265/300], Loss: 0.5109
Epoch [266/300], Loss: 0.5089
Epoch [267/300], Loss: 0.5080
Epoch [268/300], Loss: 0.5077
Epoch [269/300], Loss: 0.5063
Epoch [270/300], Loss: 0.5053
Epoch [271/300], Loss: 0.5048
Epoch [272/300], Loss: 0.5036
Epoch [273/300], Loss: 0.5027
Epoch [274/300], Loss: 0.5021
Epoch [275/300], Loss: 0.5010
Epoch [276/300], Loss: 0.5002
